category,practice_type,approach,tags,search_key
anxiety,meditation,western,"anxiety,anxious,worry,gad7,panic,meditation,western,practice",anxiety meditation western
anxiety,meditation,eastern,"anxiety,anxious,worry,gad7,panic,meditation,eastern,practice",anxiety meditation eastern
anxiety,meditation,hybrid,"anxiety,anxious,worry,gad7,panic,meditation,hybrid,practice",anxiety meditation hybrid
anxiety,meditation,all,"anxiety,anxious,worry,gad7,panic,meditation,all,practice",anxiety meditation all
anxiety,breathing,western,"anxiety,anxious,worry,gad7,panic,breathing,western,practice",anxiety breathing western
anxiety,breathing,eastern,"anxiety,anxious,worry,gad7,panic,breathing,eastern,practice",anxiety breathing eastern
anxiety,breathing,hybrid,"anxiety,anxious,worry,gad7,panic,breathing,hybrid,practice",anxiety breathing hybrid
anxiety,breathing,all,"anxiety,anxious,worry,gad7,panic,breathing,all,practice",anxiety breathing all
anxiety,yoga,western,"anxiety,anxious,worry,gad7,panic,yoga,western,practice",anxiety yoga western
anxiety,yoga,eastern,"anxiety,anxious,worry,gad7,panic,yoga,eastern,practice",anxiety yoga eastern
anxiety,yoga,hybrid,"anxiety,anxious,worry,gad7,panic,yoga,hybrid,practice",anxiety yoga hybrid
anxiety,yoga,all,"anxiety,anxious,worry,gad7,panic,yoga,all,practice",anxiety yoga all
anxiety,sleep,western,"anxiety,anxious,worry,gad7,panic,sleep,western,practice",anxiety sleep western
anxiety,sleep,eastern,"anxiety,anxious,worry,gad7,panic,sleep,eastern,practice",anxiety sleep eastern
anxiety,sleep,hybrid,"anxiety,anxious,worry,gad7,panic,sleep,hybrid,practice",anxiety sleep hybrid
anxiety,sleep,all,"anxiety,anxious,worry,gad7,panic,sleep,all,practice",anxiety sleep all
anxiety,body-scan,western,"anxiety,anxious,worry,gad7,panic,body-scan,western,practice",anxiety body-scan western
anxiety,body-scan,eastern,"anxiety,anxious,worry,gad7,panic,body-scan,eastern,practice",anxiety body-scan eastern
anxiety,body-scan,hybrid,"anxiety,anxious,worry,gad7,panic,body-scan,hybrid,practice",anxiety body-scan hybrid
anxiety,body-scan,all,"anxiety,anxious,worry,gad7,panic,body-scan,all,practice",anxiety body-scan all
anxiety,pmr,western,"anxiety,anxious,worry,gad7,panic,pmr,western,practice",anxiety pmr western
anxiety,pmr,eastern,"anxiety,anxious,worry,gad7,panic,pmr,eastern,practice",anxiety pmr eastern
