category,content_type,approach,tags,search_key
anxiety,article,western,"anxiety,anxious,worry,gad7,panic,article,western,content",anxiety article western
anxiety,article,eastern,"anxiety,anxious,worry,gad7,panic,article,eastern,content",anxiety article eastern
anxiety,article,hybrid,"anxiety,anxious,worry,gad7,panic,article,hybrid,content",anxiety article hybrid
anxiety,video,western,"anxiety,anxious,worry,gad7,panic,video,western,content",anxiety video western
anxiety,video,eastern,"anxiety,anxious,worry,gad7,panic,video,eastern,content",anxiety video eastern
anxiety,video,hybrid,"anxiety,anxious,worry,gad7,panic,video,hybrid,content",anxiety video hybrid
anxiety,audio,western,"anxiety,anxious,worry,gad7,panic,audio,western,content",anxiety audio western
anxiety,audio,eastern,"anxiety,anxious,worry,gad7,panic,audio,eastern,content",anxiety audio eastern
anxiety,audio,hybrid,"anxiety,anxious,worry,gad7,panic,audio,hybrid,content",anxiety audio hybrid
anxiety,exercise,western,"anxiety,anxious,worry,gad7,panic,exercise,western,content",anxiety exercise western
anxiety,exercise,eastern,"anxiety,anxious,worry,gad7,panic,exercise,eastern,content",anxiety exercise eastern
anxiety,exercise,hybrid,"anxiety,anxious,worry,gad7,panic,exercise,hybrid,content",anxiety exercise hybrid
depression,article,western,"depression,low-mood,phq9,sadness,article,western,content",depression article western
depression,article,eastern,"depression,low-mood,phq9,sadness,article,eastern,content",depression article eastern
depression,article,hybrid,"depression,low-mood,phq9,sadness,article,hybrid,content",depression article hybrid
depression,video,western,"depression,low-mood,phq9,sadness,video,western,content",depression video western
depression,video,eastern,"depression,low-mood,phq9,sadness,video,eastern,content",depression video eastern
depression,video,hybrid,"depression,low-mood,phq9,sadness,video,hybrid,content",depression video hybrid
depression,audio,western,"depression,low-mood,phq9,sadness,audio,western,content",depression audio western
depression,audio,eastern,"depression,low-mood,phq9,sadness,audio,eastern,content",depression audio eastern
depression,audio,hybrid,"depression,low-mood,phq9,sadness,audio,hybrid,content",depression audio hybrid
depression,exercise,western,"depression,low-mood,phq9,sadness,exercise,western,content",depression exercise western
depression,exercise,eastern,"depression,low-mood,phq9,sadness,exercise,eastern,content",depression exercise eastern
depression,exercise,hybrid,"depression,low-mood,phq9,sadness,exercise,hybrid,content",depression exercise hybrid
stress,article,western,"stress,pss10,overwhelm,recovery,article,western,content",stress article western
stress,article,eastern,"stress,pss10,overwhelm,recovery,article,eastern,content",stress article eastern
stress,article,hybrid,"stress,pss10,overwhelm,recovery,article,hybrid,content",stress article hybrid
stress,video,western,"stress,pss10,overwhelm,recovery,video,western,content",stress video western
stress,video,eastern,"stress,pss10,overwhelm,recovery,video,eastern,content",stress video eastern
stress,video,hybrid,"stress,pss10,overwhelm,recovery,video,hybrid,content",stress video hybrid
stress,audio,western,"stress,pss10,overwhelm,recovery,audio,western,content",stress audio western
stress,audio,eastern,"stress,pss10,overwhelm,recovery,audio,eastern,content",stress audio eastern
stress,audio,hybrid,"stress,pss10,overwhelm,recovery,audio,hybrid,content",stress audio hybrid
stress,exercise,western,"stress,pss10,overwhelm,recovery,exercise,western,content",stress exercise western
stress,exercise,eastern,"stress,pss10,overwhelm,recovery,exercise,eastern,content",stress exercise eastern
stress,exercise,hybrid,"stress,pss10,overwhelm,recovery,exercise,hybrid,content",stress exercise hybrid
overthinking,article,western,"overthinking,rumination,ptq,rrs,article,western,content",overthinking article western
overthinking,article,eastern,"overthinking,rumination,ptq,rrs,article,eastern,content",overthinking article eastern
overthinking,article,hybrid,"overthinking,rumination,ptq,rrs,article,hybrid,content",overthinking article hybrid
overthinking,video,western,"overthinking,rumination,ptq,rrs,video,western,content",overthinking video western
overthinking,video,eastern,"overthinking,rumination,ptq,rrs,video,eastern,content",overthinking video eastern
